Name,Pruned,RC,SMILES
1,original,reactant,O=C(C=C)NC1=CC=CC=C1
1,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
1,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
1,pruned,reactant,C=CC(=O)Nc1ccccc1
1,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
1,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
2o,original,reactant,O=C(C=C)NC1=CC=CC=C1F
2o,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(F)c1[H]
2o,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(F)c1[H]
2o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
2o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
2o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
3o,original,reactant,O=C(C=C)NC1=CC=CC=C1Cl
3o,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(Cl)c1[H]
3o,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(Cl)c1[H]
3o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
3o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
3o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
4o,original,reactant,O=C(C=C)NC1=CC=CC=C1C
4o,original,intermediate,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
4o,original,product,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
4o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
4o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
4o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
5o,original,reactant,O=C(C=C)NC1=CC=CC=C1C(F)(F)F
5o,original,intermediate,[H]c1c([H])c([H])c(C(F)(F)F)c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5o,original,product,[H]c1c([H])c([H])c(C(F)(F)F)c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
5o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
5o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
5o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
6o,original,reactant,O=C(C=C)NC1=CC=CC=C1C2=CC=CC=C2
6o,original,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
6o,original,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
6o,pruned,reactant,C=CC(=O)Nc1ccccc1-c1ccccc1
6o,pruned,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
6o,pruned,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
7o,original,reactant,O=C(C=C)NC1=CC=CC=C1C(OC)=O
7o,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(C(=O)OC([H])([H])[H])c1[H]
7o,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(C(=O)OC([H])([H])[H])c1[H]
7o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
7o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
7o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
8o,original,reactant,O=C(C=C)NC1=CC=CC=C1C#N
8o,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(C#N)c1[H]
8o,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(C#N)c1[H]
8o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
8o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
8o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
9o,original,reactant,O=C(C=C)NC1=CC=CC=C1OC
9o,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(OC([H])([H])[H])c1[H]
9o,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(OC([H])([H])[H])c1[H]
9o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
9o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
9o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
10o,original,reactant,O=C(C=C)NC1=CC=CC=C1SC
10o,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(SC([H])([H])[H])c1[H]
10o,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(SC([H])([H])[H])c1[H]
10o,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[11H]
10o,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
10o,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([11H])c1[H]
11o,original,reactant,O=C(C=C)NC1=CC=CC=C1N(C)C
11o,original,intermediate,[H]c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
