Name,SMILES,GSH_half_life_min
1,Fc1c(cc(cc1)Nc2ncnc3c2cc(c(c3)O[C@@H]4COCC4)NC(=O)C=CCN(C)C)Cl,25
3,n1(nc(c2c1ncnc2N)-c3ccc(cc3)Oc4ccccc4)[C@H]5CN(CCC5)C(=O)C=C,1180
8,C=CC(=O)Nc1ccc(cc1)N,816
9,C=CC(=O)Nc1ccc(cc1)F,323
10,C=CC(=O)NCc1ccccc1,2940
11,CN(c1ccccc1)C(=O)C=C,436
12,C=CC(=O)Nc1ccccc1,299
13,Cc1ccccc1NC(=O)C=C,428
14,COc1ccc(cc1)NC(=O)C=C,524
15,C=CC(=O)Nc1ccccc1C#N,37.2
16,C=CC(=O)Nc1cccc(c1)F,145
17,Cc1ccc(cc1)NC(=O)C=C,361
18,C=CC(=O)Nc1ccccn1,22
19,C=CC(=O)Nc1ccc(cc1)C#N,32.9
20,CC(=C)C(=O)NC(C)(C)c1ccccc1,>8640
21,CC(=C)C(=O)Nc1ccccc1,>10000
22,CC(=CC(=O)Nc1ccccc1)C,>10000
23,C=CC(=O)Nc1ccc(cc1)N,>10000
24,Fc1c(cccc1Nc2ncnc3c2cc(c(c3)OC)OC4CCN(CC4)C(=O)C=C)Cl,1640
25,s2c1ncnc(c1cc2-c3n(cnc3-c4ccccc4)CC5N(CCC5)C(=O)C=C)N,1700
26,N3(CCc1c(nc(nc1)NC2CCOCC2)C3)C(=O)C=C,252
27,N1([C@@H](CCC1)C(=O)Nc3c(cc2ncc(c(c2c3)Nc4cc(ccc4)CC)C(=O)N)OC)C(=O)C=C,211
28,n1(ncc(c1)-c2nc(c(nc2)N)-n3nnc4c3cccc4)C5CCN(CC5)C(=O)C=C,949
29,Ic1c(cc(c(c1)NCC(=O)N2CCN(CC2)C(=O)C=C)O)Cl,367
30,Clc1c(cc(c(c1)NCC(=O)N2CCN(CC2)C(=O)C=C)OC)Cl,400
31,N1(CCN(CC1)C(=O)C=C)c2ncc(cn2)-c3ccccc3,691
32,Fc1ccc(cc1)S[C@@H]2CN([C@@H](C2)C(=O)NCc3ccc(cc3)F)C(=O)C=C,90.8
34,Clc1c(nc(nc1)Nc2c(ccc(c2)NC(=O)C=CCN(C)C)OC)-c3c4n(nc3)cccc4,352
35,Clc1ccc(cc1)C=CS(=O)(=O)N2CCN(CC2)C(=O)C=C,283
36,N(C(C(O)c1cc(ccc1)OC)(C)C)C(=O)C=C,3160
51,N(c1onc(c1)-c2ccccc2)C(=O)C=C,4.09
52,s1c(nc(c1)-c2ccccc2)NC(=O)C=C,4.38
