Name,SMILES,GSH_half_life_min
3,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(/C=C/CN(C)C)=O)C(O[C@@H]4COCC4)=C3)C=C1,25
4,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(C=C)=O)C(OCCCN4CCOCC4)=C3)C=C1,23
5,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(/C=C/CN4CCCCC4)=O)C(OC)=C3)C=C1,49.3
14,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=CNC4=C3C=CC=C4,442
15,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=C(C=CC=C4)N4N=C3,352
16,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=CC(C3=C(C=CC=C4)N4N=C3)=N2,440
18,C1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2OC)N=C1C3=C(C=CC=C4)N4N=C3,479
20,O=C(C=C)NC1=CC=C(N)C=C1,816
21,O=C(C=C)NC1=CC=C(F)C=C1,323
22,O=C(C=C)NCC1=CC=CC=C1,2940
23,O=C(C=C)N(C)C1=CC=CC=C1,436
24,O=C(C=C)NC1=CC=CC=C1,299
25,O=C(C=C)NC1=C(C)C=CC=C1,428
26,O=C(C=C)NC1=CC=C(OC)C=C1,524
27,O=C(C=C)NC1=C(C#N)C=CC=C1,37.2
28,O=C(C=C)NC1=CC=CC(F)=C1,145
29,O=C(C=C)NC1=CC=C(C)C=C1,361
30,O=C(C=C)NC1=NC=CC=C1,22
31,O=C(C=C)NC1=CC=C(C#N)C=C1,32.9
32,O=C(C(C)=C)NC(C)(C)C1=CC=CC=C1,>8640
33,O=C(C(C)=C)NC1=CC=CC=C1,>10000
34,O=C(/C=C(C)/C)NC1=CC=CC=C1,>10000
35,O=C(/C=C/C)NC1=CC=CC=C1,>10000
36,ClC1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2)N=C1C3=CNC4=C3C=CC=C4,173
37,ClC1=CN=C(NC2=CC(NC(C=C)=O)=CC=C2OC)N=C1C3=CN=C4C=CC=CN43,364
38,ClC1=CN=C(NC2=C(OC)C=C(CN(C)C)C(NC(C=C)=O)=C2)N=C1C3=CN=C4C=CC=CN43,<66
39,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=CN=C4C(C)=CC=CN43,298
40,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=C(C#N)C(C3=C4C=CC=CN4N=C3)=N2,413
41,ClC1=CN=C(NC2=NN(C)C(NC(C=C)=O)=C2)N=C1C3=C4C=CC=CN4N=C3,32
42,CONC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(C=C)=O)=C3)=N2)C=CC=C1)=O,1231
43,CNC(C1=C(NC2=C(Cl)C=NC(NC3=CC=CC(NC(C=C)=O)=C3)=N2)C=CC=C1)=O,328
44,CNC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(C=C)=O)=C3)=N2)C=CC=C1)=O,924
45,CNC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C3)=N2)C=CC=C1)=O,453
46,CNC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(C(CN4CCOCC4)=C)=O)=C3)=N2)C=CC=C1)=O,16.8
47,ClC(C=NC(NC1=C(OC)C=CC(NC(C2=CCCN(C)C2)=O)=C1)=N3)=C3C4=C5C=CC=CN5N=C4,>2000
48,ClC(C=NC(NC1=C(OC)C=CC(NC(C2=CCN(C)CC2)=O)=C1)=N3)=C3C4=C5C=CC=CN5N=C4,>2000
53,FC1=C(Cl)C=C(NC2=C(C#N)C=NC3=C2C=C(NC(/C=C/CN(C)C)=O)C(OCC)=C3)C=C1,31
54,ClC1=C(OCC2=NC=CC=C2)C=CC(NC3=C(C#N)C=NC4=C3C=C(NC(/C=C/CN(C)C)=O)C(OCC)=C4)=C1,41
55,O=C(C=C)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC(C)=C3,76.9
