Name,Pruned,RC,SMILES
3,original,reactant,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(/C=C/CN(C)C)=O)C(O[C@@H]4COCC4)=C3)C=C1
3,original,intermediate,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2n1
3,original,product,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2n1
3,pruned,reactant,[H]/C(C(=O)N([H])c1c([25H])c([H])c2nc([H])nc([6H])c2c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
3,pruned,intermediate,[H]c1nc([6H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([25H])c([H])c2n1
3,pruned,product,[H]c1nc([6H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([25H])c([H])c2n1
4,original,reactant,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(C=C)=O)C(OCCCN4CCOCC4)=C3)C=C1
4,original,intermediate,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(OC([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2n1
4,original,product,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(OC([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2n1
4,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([21H])c([H])c2nc([H])nc([6H])c2c1[H]
4,pruned,intermediate,[H]c1nc([6H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([21H])c([H])c2n1
4,pruned,product,[H]c1nc([6H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([21H])c([H])c2n1
5,original,reactant,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(/C=C/CN4CCCCC4)=O)C(OC)=C3)C=C1
5,original,intermediate,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(OC([H])([H])[H])c([H])c2n1
5,original,product,[H]c1nc(N([H])c2c([H])c([H])c(F)c(Cl)c2[H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(OC([H])([H])[H])c([H])c2n1
5,pruned,reactant,[H]/C(C(=O)N([H])c1c([28H])c([H])c2nc([H])nc([6H])c2c1[H])=C(/[H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
5,pruned,intermediate,[H]c1nc([6H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([28H])c([H])c2n1
5,pruned,product,[H]c1nc([6H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([28H])c([H])c2n1
14,original,reactant,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=CNC4=C3C=CC=C4
14,original,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c1Cl
14,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c1Cl
14,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([8H])c([5H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
14,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
14,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
15,original,reactant,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=C(C=CC=C4)N4N=C3
15,original,intermediate,[H]C1=C([H])c2c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])nc([H])c3Cl)c([H])nn2C([H])=C1[H]
15,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nn3c([H])c([H])c([H])c([H])c23)c1Cl
15,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([8H])c([5H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
15,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
15,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([5H])c1[8H]
16,original,reactant,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=CC(C3=C(C=CC=C4)N4N=C3)=N2
16,original,intermediate,[H]C1=C([H])c2c(-c3nc(N([H])c4c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])nc([H])c3[H])c([H])nn2C([H])=C1[H]
16,original,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(-c2c([H])nn3c([H])c([H])c([H])c([H])c23)c1[H]
16,pruned,reactant,[H]/C(C(=O)N([H])c1c([H])c([H])c([1H])c([17H])c1[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
16,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([17H])c1[1H]
16,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([17H])c1[1H]
18,original,reactant,C1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2OC)N=C1C3=C(C=CC=C4)N4N=C3
