compound,comp_HOMO (eV),comp_LUMO (eV),comp_SCF (Hartree),comp_SP (Hartree),comp_Ca (a.u.),comp_Cb (a.u.),dCb,carb_HOMO (eV),carb_LUMO (eV),carb_SCF (Hartree),carb_SP (Hartree),dSCF_carb (Hartree),dSP_carb (Hartree),carb_Ca (a.u.),carb_Cb (a.u.),omega_p (eV),activation_energy (kcal/mol),carb_S (a.u.),carb_SC_dis (Å),carb_formation_energy (kcal/mol),omega (eV),comp_Cb_f+ (a.u.),prod_formation (kcal/mol),k_298K (s-1),carb_protonation (kcal/mol),ts_SCF (Hartree),ts_SP (Hartree),prod_SCF (Hartree),prod_SP (Hartree)
1,-9.2701,-0.5764,-630.1322244,-630.1819223,-0.31109261,0.02030219,-0.349444416,-7.6654,1.5864,-1068.435326,-1068.502552,-0.03280178,-0.044852446,-0.492305863,-0.329142227,1.394020415,7.01356044,0.14360708,1.838,-14.68133697,3.004576505,0.265165844,-5.281968754,44597353.66,-18.57778489,-1068.401808,-1068.466428,-1068.90768,-1068.97671
2,-9.2223,-0.4704,-570.9433377,-570.9909389,-0.295886416,0.006906399,-0.335603174,-7.5615,1.5905,-1009.241329,-1009.306483,-0.02769132,-0.039766412,-0.490603843,-0.328696775,1.341829107,7.30233597,0.140295989,1.841,-11.65959923,2.851478691,0.259193887,-6.655673024,27385257.27,-22.97322689,-1009.21156,-1009.273606,-1009.721553,-1009.788199
3,-10.8367,-0.0452,-398.9310298,-398.9518015,-0.300200517,-0.148821019,-0.338725963,-7.6549,1.6567,-837.2437594,-837.2779453,-0.04242972,-0.050366309,-0.502640696,-0.487546982,1.37163216,8.090523575,0.116692252,1.835,-17.38076996,2.656597097,0.413360813,-8.742825948,7235163.111,-19.33920721,-837.2010863,-837.2318391,-837.7172514,-837.7537915
4,-10.7412,0.0809,-339.7426381,-339.7612857,-0.287687445,-0.162357104,-0.32218403,-7.5389,1.6404,-778.0503742,-778.0823893,-0.03743627,-0.045326043,-0.501715115,-0.484541134,1.312614882,7.714601474,0.115114321,1.835,-14.42220712,2.507363377,0.419973502,-8.696396522,13650708.1,-22.25134251,-778.0145702,-778.0459307,-778.5298971,-778.5633648
5,-8.9383,-0.337,-649.3747373,-649.4396553,-0.198733756,-0.037484997,-0.289639781,-6.7846,1.4682,-1087.66285,-1087.746116,-0.01781287,-0.030683129,-0.424501887,-0.327124778,1.250264351,8.803737351,0.142454107,1.842,-5.978112014,2.575714097,0.252635349,-7.375426203,2169535.432,-29.37446729,-1087.639462,-1087.721344,-1088.152578,-1088.237354
6,-9.1248,-0.1907,-643.3203081,-643.3745081,0.016889479,-0.057924338,-0.276415825,-7.202,1.579,-1081.601213,-1081.672953,-0.01060494,-0.022666947,-0.297667571,-0.334340164,1.214147763,10.05932683,0.118822184,1.854,-0.325143469,2.500025493,0.263260832,-8.066593564,260314.7458,-35.7186032,-1081.583879,-1081.654344,-1082.100789,-1082.17469
7,-8.8491,-0.0912,-627.2625171,-627.3192858,0.032423119,-0.083493746,-0.250352112,-7.0132,1.5779,-1065.538805,-1065.612794,-0.00598849,-0.017730378,-0.287900023,-0.333845858,1.140812354,11.65307903,0.117695451,1.854,1.93748451,2.375180419,0.253581488,-8.826999944,17644.81987,-38.74163756,-1065.523523,-1065.596657,-1066.043207,-1066.119693
8,-10.2127,0.4127,-231.3835364,-231.3978492,-0.333596004,-0.265435155,-0.248165441,-7.3292,1.7703,-669.6740595,-669.7011195,-0.02022321,-0.027492882,-0.495799209,-0.513600596,1.129839818,12.88741935,0.107597943,1.838,-2.974878089,2.239187113,0.34207769,-12.33944042,2194.490478,-37.34171544,-669.644139,-669.6697104,-670.1746424,-670.2027029
9,-10.6633,0.6741,-306.6463456,-306.6616844,-0.334590221,-0.269737629,-0.233979414,-7.143,1.769,-744.9268605,-744.954909,-0.01021499,-0.017447118,-0.579838613,-0.503717043,1.100165345,14.89476568,0.097198135,1.844,2.800455556,2.066325554,0.377285966,-11.08381907,73.98029874,-41.8614257,-744.9049689,-744.9317741,-745.4372141,-745.4662878
10,-10.5558,0.7271,-170.9379859,-170.9467193,-0.355600583,-0.249015929,-0.242332423,-6.7914,1.7171,-609.2125636,-609.234058,-0.00427776,-0.011561193,-0.739383223,-0.491348353,1.070240626,14.14113935,0.081470493,1.853,5.015419672,1.996507182,0.424202857,-12.54422187,264.141614,-45.5367926,-609.1969169,-609.2169976,-609.730266,-609.7525881
