Name,Pruned,RC,SMILES
1,original,reactant,C=CC(=O)Nc1ccccn1
1,original,intermediate,[H]c1nc(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
1,original,product,[H]c1nc(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
1,pruned,reactant,C=CC(=O)Nc1ccccn1
1,pruned,intermediate,[H]c1nc(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
1,pruned,product,[H]c1nc(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
2,original,reactant,C=CC(=O)Nc1cccc(c1)C#N
2,original,intermediate,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
2,original,product,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
2,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([11H])c1[H]
2,pruned,intermediate,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
2,pruned,product,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
3,original,reactant,C=CC(=O)Nc1cccc(c1)Cl
3,original,intermediate,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
3,original,product,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
3,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([11H])c1[H]
3,pruned,intermediate,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
3,pruned,product,[H]c1c([H])c([11H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
4,original,reactant,C=CC(=O)Nc1ccccc1
4,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
4,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
4,pruned,reactant,C=CC(=O)Nc1ccccc1
4,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
4,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
5,original,reactant,COc1cccc(c1)NC(=O)C=C
5,original,intermediate,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5,original,product,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
5,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([1H])c1[H]
5,pruned,intermediate,[H]c1c([H])c([1H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5,pruned,product,[H]c1c([H])c([1H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
6,original,reactant,CN(c1ccccc1)C(=O)C=C
6,original,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
6,original,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
6,pruned,reactant,C=CC(=O)N(C)c1ccccc1
6,pruned,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
6,pruned,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H]
7,original,reactant,CNC(=O)/C=C/C(F)(F)F
7,original,intermediate,[H][C-](C(F)(F)F)C([H])(SC([H])([H])[H])C(=O)N([H])C([H])([H])[H]
7,original,product,[H]N(C(=O)C([H])(SC([H])([H])[H])C([H])([H])C(F)(F)F)C([H])([H])[H]
7,pruned,reactant,CNC(=O)/C=C/C(F)(F)F
7,pruned,intermediate,[H][C-](C(F)(F)F)C([H])(SC([H])([H])[H])C(=O)N([H])C([H])([H])[H]
7,pruned,product,[H]N(C(=O)C([H])(SC([H])([H])[H])C([H])([H])C(F)(F)F)C([H])([H])[H]
8,original,reactant,COc1ccc(cc1)NC(=O)C=C
8,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
8,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
8,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([1H])c([H])c1[H]
8,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[1H]
8,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[1H]
9,original,reactant,C=CC(=O)N1CCC(C1)O
9,original,intermediate,[H]OC1([H])C([H])([H])N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1([H])[H]
9,original,product,[H]OC1([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1([H])[H]
9,pruned,reactant,[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])([9H])C1([H])[H]
9,pruned,intermediate,[H][C-](C(=O)N1C([H])([H])C([H])([H])C([H])([9H])C1([H])[H])C([H])([H])SC([H])([H])[H]
9,pruned,product,[H]C([H])([H])SC([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([9H])C1([H])[H]
10,original,reactant,C=CC(=O)NCc1ccccc1
10,original,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
10,original,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
10,pruned,reactant,C=CC(=O)NCc1ccccc1
