Name,SMILES,GSH_half_life_min,dataset,id
3,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(/C=C/CN(C)C)=O)C(O[C@@H]4COCC4)=C3)C=C1,25,S2,S2-3
4,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(C=C)=O)C(OCCCN4CCOCC4)=C3)C=C1,23,S2,S2-4
5,FC1=C(Cl)C=C(NC2=NC=NC3=C2C=C(NC(/C=C/CN4CCCCC4)=O)C(OC)=C3)C=C1,49.3,S2,S2-5
14,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=CNC4=C3C=CC=C4,442,S2,S2-14
15,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=C(C=CC=C4)N4N=C3,352,S2,S2-15
16,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=CC(C3=C(C=CC=C4)N4N=C3)=N2,440,S2,S2-16
18,C1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2OC)N=C1C3=C(C=CC=C4)N4N=C3,479,S2,S2-18
20,O=C(C=C)NC1=CC=C(N)C=C1,816,S2,S2-20
21,O=C(C=C)NC1=CC=C(F)C=C1,323,S2,S2-21
22,O=C(C=C)NCC1=CC=CC=C1,2940,S2,S2-22
23,O=C(C=C)N(C)C1=CC=CC=C1,436,S2,S2-23
24,O=C(C=C)NC1=CC=CC=C1,299,S2,S2-24
25,O=C(C=C)NC1=C(C)C=CC=C1,428,S2,S2-25
26,O=C(C=C)NC1=CC=C(OC)C=C1,524,S2,S2-26
27,O=C(C=C)NC1=C(C#N)C=CC=C1,37.2,S2,S2-27
28,O=C(C=C)NC1=CC=CC(F)=C1,145,S2,S2-28
29,O=C(C=C)NC1=CC=C(C)C=C1,361,S2,S2-29
30,O=C(C=C)NC1=NC=CC=C1,22,S2,S2-30
31,O=C(C=C)NC1=CC=C(C#N)C=C1,32.9,S2,S2-31
32,O=C(C(C)=C)NC(C)(C)C1=CC=CC=C1,>8640,S2,S2-32
33,O=C(C(C)=C)NC1=CC=CC=C1,>10000,S2,S2-33
34,O=C(/C=C(C)/C)NC1=CC=CC=C1,>10000,S2,S2-34
35,O=C(/C=C/C)NC1=CC=CC=C1,>10000,S2,S2-35
36,ClC1=CN=C(NC2=CC(NC(/C=C/CN(C)C)=O)=CC=C2)N=C1C3=CNC4=C3C=CC=C4,173,S2,S2-36
37,ClC1=CN=C(NC2=CC(NC(C=C)=O)=CC=C2OC)N=C1C3=CN=C4C=CC=CN43,364,S2,S2-37
38,ClC1=CN=C(NC2=C(OC)C=C(CN(C)C)C(NC(C=C)=O)=C2)N=C1C3=CN=C4C=CC=CN43,<66,S2,S2-38
39,ClC1=CN=C(NC2=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C2)N=C1C3=CN=C4C(C)=CC=CN43,298,S2,S2-39
40,COC(C=CC(NC(/C=C/CN(C)C)=O)=C1)=C1NC2=NC=C(C#N)C(C3=C4C=CC=CN4N=C3)=N2,413,S2,S2-40
41,ClC1=CN=C(NC2=NN(C)C(NC(C=C)=O)=C2)N=C1C3=C4C=CC=CN4N=C3,32,S2,S2-41
42,CONC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(C=C)=O)=C3)=N2)C=CC=C1)=O,1231,S2,S2-42
43,CNC(C1=C(NC2=C(Cl)C=NC(NC3=CC=CC(NC(C=C)=O)=C3)=N2)C=CC=C1)=O,328,S2,S2-43
44,CNC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(C=C)=O)=C3)=N2)C=CC=C1)=O,924,S2,S2-44
45,CNC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(/C=C/CN(C)C)=O)=C3)=N2)C=CC=C1)=O,453,S2,S2-45
46,CNC(C1=C(NC2=C(Cl)C=NC(NC3=C(OC)C=CC(NC(C(CN4CCOCC4)=C)=O)=C3)=N2)C=CC=C1)=O,16.8,S2,S2-46
47,ClC(C=NC(NC1=C(OC)C=CC(NC(C2=CCCN(C)C2)=O)=C1)=N3)=C3C4=C5C=CC=CN5N=C4,>2000,S2,S2-47
48,ClC(C=NC(NC1=C(OC)C=CC(NC(C2=CCN(C)CC2)=O)=C1)=N3)=C3C4=C5C=CC=CN5N=C4,>2000,S2,S2-48
53,FC1=C(Cl)C=C(NC2=C(C#N)C=NC3=C2C=C(NC(/C=C/CN(C)C)=O)C(OCC)=C3)C=C1,31,S2,S2-53
54,ClC1=C(OCC2=NC=CC=C2)C=CC(NC3=C(C#N)C=NC4=C3C=C(NC(/C=C/CN(C)C)=O)C(OCC)=C4)=C1,41,S2,S2-54
55,O=C(C=C)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC(C)=C3,76.9,S2,S2-55
1,C=CC(=O)Nc1ccccn1,7.8,S3,S3-1
2,C=CC(=O)Nc1cccc(c1)C#N,26.4,S3,S3-2
3,C=CC(=O)Nc1cccc(c1)Cl,45,S3,S3-3
4,C=CC(=O)Nc1ccccc1,52.8,S3,S3-4
5,COc1cccc(c1)NC(=O)C=C,96,S3,S3-5
6,CN(c1ccccc1)C(=O)C=C,210,S3,S3-6
7,CNC(=O)/C=C/C(F)(F)F,240,S3,S3-7
8,COc1ccc(cc1)NC(=O)C=C,270,S3,S3-8
9,C=CC(=O)N1CCC(C1)O,480,S3,S3-9
