Name,RC,SMILES,charge,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-21.1,reactant,C=CC(=O)Nc1ccc(F)cc1,0,-362686.643846022,17.662618288770318,-362683.47761529626,-362685.86640386935
S2-21.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1F,-1,-637683.886361511,20.122412147931755,-637679.8488480686,-637681.5923010249
S2-21.1,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1F,0,-638051.571156054,1.125441082753241,-638048.182718295,-638050.4389038992
S2-22.1,reactant,C=CC(=O)NCc1ccccc1,0,-325061.38577545824,2.2653423845767975,-325058.566822127,-325060.14177993184
S2-22.1,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-600054.8807232428,2.268840559758246,-600048.3258687807,-600051.2513174138
S2-22.1,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-600426.7409158461,2.084490418434143,-600423.0946530261,-600425.4610623824
S2-22.2,reactant,C=CC(=O)NCc1ccccc1,0,-325059.95221605035,2.709921765141189,-325055.78422694164,-325058.43498423364
S2-22.2,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-600055.2055676194,3.35378522798419,-600047.0485736219,-600050.2755457752
S2-22.2,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-600426.7399311108,2.375518091954291,-600423.1963175964,-600425.4605348504
S2-22.3,reactant,C=CC(=O)NCc1ccccc1,0,-325061.3844319893,2.473090541549027,-325058.75617621234,-325060.139409299
S2-22.3,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-600055.8524116493,4.17044432554394,-600049.1302178686,-600051.3343629808
S2-22.3,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-600426.7484707334,2.3456883635371923,-600422.6573131355,-600425.4409158587
S2-22.4,reactant,C=CC(=O)NCc1ccccc1,0,-325061.3833933206,2.295078090392053,-325057.51372672943,-325060.13096629566
S2-22.4,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-600055.7542639642,3.356873530894518,-600048.8344973467,-600051.5472145102
S2-22.4,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-600426.818657375,1.2766831051558256,-600422.067402089,-600425.676045744
S2-22.5,reactant,C=CC(=O)NCc1ccccc1,0,-325061.38454104937,2.262722361832857,-325058.7766394063,-325060.13967653183
S2-22.5,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-600055.7557898674,3.0462821405380964,-600049.360196076,-600051.719552774
S2-22.5,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-600426.7605453351,3.42117393668741,-600421.5648518979,-600424.961394769
S2-22.6,reactant,C=CC(=O)NCc1ccccc1,0,-325059.69236871344,1.9810140077024698,-325056.45604759554,-325058.7207112852
S2-22.6,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-600053.0109372481,3.434828007593751,-600045.4859619609,-600048.2431278578
S2-22.6,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-600426.8241414818,1.337943592108786,-600423.0406902643,-600425.7096139069
S2-20.1,reactant,C=CC(=O)Nc1ccc(N)cc1,0,-335136.8486035547,0.9574600858613849,-335134.16395716235,-335135.25596001383
S2-20.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1N([H])[H],-1,-610133.8296518188,2.0845799716189504,-610128.763905456,-610130.0878868434
S2-20.1,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1N([H])[H],0,-610502.5155785629,1.5160160781815648,-610498.5115586827,-610500.9630586923
S2-23.1,reactant,C=CC(=O)N(C)c1ccccc1,0,-325054.6156750992,3.9138570865616202,-325049.94122819504,-325052.1973712056
S2-23.1,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],-1,-600051.3756541488,2.3887989372015,-600044.153614213,-600047.6469727365
S2-23.1,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],0,-600415.636512318,1.7895622476935387,-600412.6618021071,-600414.0061862771
S2-23.2,reactant,C=CC(=O)N(C)c1ccccc1,0,-325051.06761435897,2.3018321488052607,-325047.52808030025,-325048.62570556306
S2-23.2,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],-1,-600051.3925879805,3.116840119473636,-600044.1293153334,-600047.1264917294
S2-23.2,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],0,-600416.8022154465,2.393386349081993,-600412.8480899773,-600415.1826945735
S2-23.3,reactant,C=CC(=O)N(C)c1ccccc1,0,-325051.0666333579,2.2868039654567838,-325047.0830664927,-325048.60866805894
S2-23.3,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],-1,-600048.2037604848,3.348054467700422,-600042.2721819764,-600044.8648132922
S2-23.3,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],0,-600415.0254497571,1.9839687766507268,-600411.4336060288,-600413.4540162343
S2-23.4,reactant,C=CC(=O)N(C)c1ccccc1,0,-325051.06742261734,2.881822880357504,-325047.257913695,-325048.6666147384
S2-23.4,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],-1,-600048.1879279823,3.417788510210812,-600042.9367699414,-600044.8199900918
S2-23.4,product,[H]c1c([H])c([H])c(N(C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H])c([H])c1[H],0,-600419.3451377256,1.5696603693068027,-600415.2783837406,-600417.5838721904
S2-24.1,reactant,C=CC(=O)Nc1ccccc1,0,-300375.38220140955,0.663117554038763,-300373.91659308685,-300374.7882449669
S2-24.1,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],-1,-575372.6991159796,3.5747959185391665,-575365.7595829524,-575368.38214558
S2-24.1,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c1[H],0,-575740.3058480021,1.1195780700072646,-575737.0085515848,-575739.3343669778
S2-25.1,reactant,C=CC(=O)Nc1ccccc1C,0,-325062.61209326243,0.9539531469345093,-325059.34798381204,-325061.56309199426
