Name,RC,SMILES,charge,QCa,QCb,E_HOMO,E_LUMO,f_plus_Cb,f_minus_Cb,f_zero_Cb,f_plus_Ca,f_minus_Ca,f_zero_Ca,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S3-1.1,reactant,[H]c1nc(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1[H],0,-0.157885,-0.2739919,-206.07795562385996,8.027590313103572,0.15071526,0.100078106,0.12539668,0.05671966,0.0013472587,0.02903346,-310451.9295718348,17.82297134026885,-310448.7367339979,-310449.9961760878
S3-1.1,intermediate,[H]c1nc(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1[H],-1,-0.51133454,-0.10859009,-69.63020188841134,103.85323269314131,-0.00832098,0.021998033,0.0068385266,0.0009225011,0.37450802,0.18771526,-585438.9315537296,22.1732539255172,-585413.4101469528,-585414.2776043237
S3-1.1,product,[H]c1nc(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1[H],0,-0.156936,-0.12323211,-194.47364936159912,15.24266679965705,-0.017690688,-0.01681067,-0.01725068,0.0111658275,0.008374006,0.009769917,-585810.9435135877,3.5244723968207836,-585802.3468981276,-585805.8611275225
S3-2.1,reactant,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c1[H],0,-0.15212044,-0.27082476,-207.87685389912735,-7.796647371612138,0.073485345,0.057330474,0.06540791,0.013392061,0.0011519939,0.0072720274,-358302.3305629061,0.936615277081728,-358298.6845306239,-358299.9766980344
S3-2.1,intermediate,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c1[H],-1,-0.49723917,-0.11743994,-75.37250365812469,83.60943266626133,-0.009296365,0.022548698,0.0066261664,-0.04588613,0.3248036,0.13945872,-633309.4882184261,1.632562130689621,-633293.5596980889,-633293.9342784346
S3-2.1,product,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c1[H],0,-0.14104475,-0.12642394,-194.23164186747138,-2.7310833021072436,-0.030025326,-0.014833704,-0.022429515,0.011172861,0.007369265,0.009271063,-633669.2930800334,1.6499089188873768,-633663.1493857829,-633665.6649733811
S3-2.2,reactant,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c1[H],0,-0.14992532,-0.27119783,-206.51357035969983,-8.415450022159742,0.075587004,0.059313074,0.06745004,0.010895297,-0.001734227,0.004580535,-358301.4128821348,1.1821468695998192,-358296.86548878084,-358298.9493555441
S3-2.2,intermediate,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c1[H],-1,-0.49950412,-0.11755017,-75.93898529661841,84.46429691296473,-0.026983544,0.02081155,-0.003085997,-0.037801087,0.3127271,0.137463,-633307.6727917974,2.361648440361023,-633285.7436070393,-633288.7549058667
S3-2.2,product,[H]c1c([H])c(C#N)c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c1[H],0,-0.13471404,-0.11220643,-194.93779139099615,-3.5520824806353746,-0.052348703,-0.039321437,-0.04583507,0.015123412,0.002528131,0.0088257715,-633667.4300975321,1.3239237144589424,-633663.2279639782,-633664.8884468519
S3-3.1,reactant,[H]c1c([H])c(Cl)c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c1[H],0,-0.15169948,-0.27408472,-202.83483148563485,5.615648253295265,0.14191312,0.09327634,0.11759473,0.069355085,-0.0030862242,0.03313443,-588820.5692264044,0.49185338988900185,-588816.8658221447,-588818.5535021643
