Name,RC,SMILES,charge,QCa,QCb,E_HOMO,E_LUMO,f_plus_Cb,f_minus_Cb,f_zero_Cb,f_plus_Ca,f_minus_Ca,f_zero_Ca,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S5-9.1,reactant,[H]c1c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1F,0,-0.15113665,-0.27633375,-201.8817880736811,8.632779414468247,0.11717385,0.06517325,0.09117355,0.043470755,0.0011572838,0.02231402,-362685.70264950313,17.610902220010757,-362682.5401630869,-362684.5846989498
S5-9.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1F,-1,-0.49681452,-0.116852276,-68.01668862457666,106.71186085016146,-0.031240433,0.01644244,-0.0073989965,-0.013079286,0.36752808,0.1772244,-637683.8863502516,20.227670665830374,-637679.8488480686,-637681.5923010249
S5-9.1,product,[H]c1c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1F,0,-0.14269622,-0.12260247,-190.92741651664804,15.1257704894099,-0.024545267,-0.019794427,-0.022169847,0.019333705,0.006363049,0.012848377,-638052.7263822962,1.720556065440178,-638048.3252718762,-638050.404767716
S5-10.1,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16264193,-0.27967852,-207.8290518117475,17.85972485076721,0.16921207,0.09623334,0.1327227,0.08412835,-0.0053090304,0.03940966,-325061.38458635483,2.387091401964426,-325058.0336653253,-325060.1388804573
S5-10.1,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.55232704,-0.11391431,-72.37376189846132,110.03526697319704,0.008500539,0.022186048,0.015343294,-0.06478745,0.5038519,0.2195322,-600055.193150182,3.121450312435627,-600046.8620146627,-600049.0667772335
S5-10.1,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.14164254,-0.12345472,-196.42779625969823,16.502428533754127,-0.028854728,-0.019487485,-0.024171107,0.019889027,0.0008433312,0.010366179,-600426.6455524707,4.050949037075043,-600421.7266336979,-600423.9900571019
S5-10.2,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.1628362,-0.27960458,-207.7455959972822,17.857800183420718,0.1702928,0.09645411,0.13337345,0.084067956,-0.0051745623,0.039446697,-325061.3820710174,2.3911594841629267,-325058.5588685419,-325060.1858321148
S5-10.2,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.54241115,-0.11535781,-71.9882405994222,110.1532655479448,0.009139024,0.023858055,0.01649854,-0.057217687,0.48881596,0.21579914,-600054.8719213158,2.426709955558181,-600048.9287205416,-600051.0796780143
S5-10.2,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13778637,-0.10747318,-193.79356552455607,17.81855352688842,-0.043298177,-0.040177345,-0.04173776,0.09106539,0.03283997,0.06195268,-600426.7455938888,3.0962999369949102,-600422.5228516245,-600424.96477026
S5-10.3,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16515453,-0.2819573,-210.5467005421625,17.046255864741862,0.12554839,0.06731957,0.09643398,0.052271113,-0.00171341,0.025278851,-325059.6948044305,2.008451195433736,-325056.1616204711,-325058.7262227817
S5-10.3,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.5114335,-0.110480644,-69.19588158912562,111.30189811891498,0.007943906,0.04267928,0.025311593,-0.021976322,0.38285956,0.18044162,-600053.3226730067,4.4399539437144995,-600041.7280099114,-600044.3762562526
S5-10.3,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13717018,-0.10646798,-193.49089899055235,17.54072065634864,-0.040262155,-0.038103193,-0.039182674,0.06610179,0.010393113,0.03824745,-600426.7500080712,2.3972469717264175,-600423.3010821493,-600425.4084141001
S5-10.4,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16072392,-0.28352472,-209.97171896281324,16.139966011524237,0.13457644,0.07139668,0.10298656,0.043935835,-0.0063079298,0.018813953,-325059.9497049629,2.8374823313206434,-325056.9628107801,-325058.42907994473
S5-10.4,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.50681454,-0.121079825,-67.83875119396855,113.650623367598,0.005289085,0.031208403,0.018248744,-0.048551917,0.42100438,0.18622623,-600055.8595055575,4.193898255005479,-600049.0427673641,-600051.4141515522
S5-10.4,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13858694,-0.10527929,-193.09869189209525,17.57296477579168,-0.03993634,-0.03955952,-0.03974793,0.07124403,0.014448747,0.04284639,-600426.7995179577,1.3717076051980257,-600421.8073160271,-600425.6513847747
S5-10.5,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16063613,-0.283675,-210.0218528539521,16.110901923248484,0.133854,0.07168536,0.10276968,0.042704552,-0.006455973,0.01812429,-325059.9522807315,2.864732602611184,-325057.1002162956,-325058.4608287902
S5-10.5,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.49918672,-0.12088597,-67.12858374296836,112.86813551527675,0.007556066,0.030333474,0.01894477,-0.045634747,0.4197533,0.18705928,-600055.748267938,2.840928088873625,-600048.9865503608,-600051.7634579563
S5-10.5,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13738556,-0.10636305,-193.37129960040622,17.455633565448665,-0.040773258,-0.038214736,-0.039493997,0.06814541,0.011627376,0.039886393,-600426.738343286,2.1237207744270563,-600422.3967223502,-600425.4776900973
S5-10.6,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16060194,-0.2835971,-210.00073330182283,16.1362371461252,0.13439754,0.07155605,0.10297679,0.043551207,-0.0064029545,0.018574126,-325059.9492845763,2.8517775554209948,-325057.3767201565,-325058.41896522004
