Name,RC,SMILES,charge,QCa,QCb,E_HOMO,E_LUMO,f_plus_Cb,f_minus_Cb,f_zero_Cb,f_plus_Ca,f_minus_Ca,f_zero_Ca,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-20.1,reactant,[H]c1c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1N([H])[H],0,-0.14971042,-0.28200844,-180.04167422680874,15.89212097139388,0.14930004,0.07616927,0.11273465,0.06949496,-0.013945088,0.027774937,-335137.5999775438,17.901016496121883,-335134.41816405486,-335136.31052276306
S2-20.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1N([H])[H],-1,-0.4869107,-0.114936054,-61.535697557613275,111.41656961044902,0.0013137385,0.02342695,0.012370344,-0.02802226,0.30240092,0.13718933,-610133.8267229386,25.62348842807114,-610127.9787130025,-610130.2037031786
S2-20.1,product,[H]c1c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1N([H])[H],0,-0.13119166,-0.09954186,-176.77307252702306,20.609284175346236,-0.043560836,-0.05485694,-0.049208887,0.025984317,-0.008384451,0.008799933,-610502.5137239347,9.910037364810705,-610499.1565015916,-610500.9712510739
S2-22.1,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16070528,-0.28375468,-210.0090163570259,16.079162508899586,0.13379201,0.07178958,0.102790795,0.042992458,-0.006429434,0.018281512,-325059.9509766014,8.025371076539159,-325056.0101403019,-325058.4016880409
S2-22.1,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.5521802,-0.11383907,-72.24054249511613,110.02832857479399,0.008041866,0.022031233,0.015036549,-0.0654282,0.50362575,0.21909876,-600055.1848540249,2.750100215896964,-600048.0864932213,-600050.5779339996
S2-22.1,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.14312534,-0.105896465,-192.85262904606188,17.572908874594273,-0.03379742,-0.039372884,-0.036585152,0.05770132,0.009993255,0.033847287,-600426.5257952865,1.6881536860018969,-600422.9054353639,-600425.4050464727
S2-22.2,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.15887603,-0.28339252,-208.72679556709136,16.04006445187653,0.14108098,0.07223207,0.10665652,0.058623046,-0.006510854,0.026056096,-325059.76845539437,1.7738310657441616,-325056.1418303646,-325058.40064215154
S2-22.2,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.51694715,-0.11192462,-68.38733879485136,111.53568163643025,0.0045794845,0.040858626,0.022719055,-0.028812021,0.398014,0.184601,-600053.1796038314,3.4056935366243124,-600040.7586957166,-600044.2743740423
S2-22.2,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13861607,-0.105359845,-193.23626094187782,17.57235000079328,-0.039885633,-0.039686687,-0.03978616,0.06982301,0.013849214,0.041836113,-600426.821794391,1.7857160679996014,-600422.703956665,-600425.6914430312
S2-22.3,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.1605647,-0.2838412,-209.95910621912668,16.096919853962255,0.13419205,0.07188484,0.103038445,0.04310155,-0.0064689517,0.018316299,-325059.9511211681,2.787383012473583,-325056.353783239,-325058.44798512186
S2-22.3,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.50993973,-0.11336336,-68.02325950377121,113.92987935383167,0.005967267,0.023346514,0.01465689,-0.050448358,0.44365984,0.19660574,-600056.2120404211,2.6250927727669477,-600048.7774826814,-600050.9220889832
S2-22.3,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13731298,-0.106197685,-193.37153550041728,17.49634145930436,-0.040572114,-0.03794837,-0.039260242,0.06865983,0.0117459,0.040202864,-600426.73441643,2.1475714948028326,-600422.3785043635,-600425.4708045282
S2-22.4,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.15517865,-0.2820299,-212.80182154303665,19.164649879733123,0.1482012,0.09945299,0.12382709,0.05638674,-0.0040999353,0.026143402,-325060.7887851216,1.2151961904019117,-325059.102132324,-325060.178690761
S2-22.4,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.51757294,-0.111802034,-68.48563700273989,111.55884674085173,0.0035144687,0.040416136,0.021965303,-0.028514951,0.3990044,0.18524471,-600053.2041728363,3.276512276381254,-600043.1062430294,-600044.9753366567
S2-22.4,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.1373427,-0.10661251,-193.43204640970836,17.444533527670902,-0.040450327,-0.038305126,-0.039377727,0.067969605,0.0113989115,0.03968426,-600426.7388869635,2.2033472321927547,-600422.9230095621,-600425.439623755
S2-22.5,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16074024,-0.2838302,-209.98845775565604,16.12896143614879,0.1333831,0.07148221,0.10243265,0.04327123,-0.0063415766,0.018464826,-325059.9515979343,2.954094832763076,-325056.85812905093,-325058.4333475965
S2-22.5,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.5495161,-0.11361995,-72.04145457436431,109.76538996010221,0.008337237,0.022366434,0.015351836,-0.06271747,0.4987127,0.21799761,-600055.1473215239,2.5676966048777103,-600048.3311033209,-600050.3981325314
S2-22.5,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.1371978,-0.10625337,-193.46059368810742,17.56677502396479,-0.040080704,-0.038228408,-0.039154556,0.066070184,0.010341138,0.03820566,-600426.7488324074,2.4796995259821415,-600423.2302025736,-600425.4666256345
S2-22.6,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.15508111,-0.28204483,-212.80214872300928,19.16618192794128,0.14797544,0.099398226,0.123686835,0.05635129,-0.004229218,0.026061036,-325060.7884011185,1.2005341555923223,-325058.4853820304,-325060.1757154123
