Name,RC,SMILES,charge,QCa,QCb,E_HOMO,E_LUMO,f_plus_Cb,f_minus_Cb,f_zero_Cb,f_plus_Ca,f_minus_Ca,f_zero_Ca,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-20.1,reactant,[H]c1c([H])c(N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c([H])c1[9H],0,-0.14967114,-0.2788928,-202.54021351519006,12.037071954467425,0.13314632,0.0663241,0.09973521,0.061117217,0.0013196021,0.03121841,-300374.3379994112,17.187731716781855,-300371.7244916559,-300373.4058249494
S2-20.1,intermediate,[H]c1c([H])c(N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1[9H],-1,-0.5040431,-0.104311556,-67.19319078669568,116.0912144407782,-0.01826045,0.023621783,0.0026806667,-0.003975451,0.31433645,0.1551805,-575372.7062078498,21.616801830008626,-575367.2734450954,-575368.4554289591
S2-20.1,product,[H]c1c([H])c(N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c([H])c1[9H],0,-0.14781328,-0.11538342,-192.0997163370311,17.773196489054925,-0.021417744,-0.020617872,-0.021017808,0.016187117,0.004605159,0.010396138,-575741.4502201314,2.8176166638731956,-575736.3838406989,-575739.1550641173
S2-22.1,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.15518309,-0.28205058,-212.8002462831533,19.164844976282055,0.14808592,0.09945035,0.123768136,0.05634378,-0.004087895,0.026127942,-325060.78843646764,1.1845623552799225,-325059.0071299657,-325060.1769783214
S2-22.1,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.15915336,-0.3031442,-88.7659759812308,88.71527094304965,0.08992693,0.04977888,0.0698529,0.11699025,-0.004958421,0.056015916,-600066.9910443128,7.717564674094319,-600042.3883696618,-600045.9712411615
S2-22.1,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13864546,-0.10544102,-193.1525169965991,17.571589752461694,-0.03988059,-0.039518356,-0.039699472,0.070649624,0.014097162,0.042373393,-600426.8170189714,1.3775119129568338,-600423.6509558253,-600425.6824838694
S2-22.2,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.15506385,-0.2820423,-212.82190581486094,19.168358241994483,0.14801681,0.099363655,0.12369023,0.056402653,-0.0042333603,0.026084647,-325060.78938226873,1.2092522513121367,-325058.53436903056,-325060.17766182445
S2-22.2,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.49947473,-0.1158937,-66.81461520721855,113.25064208922421,0.004053086,0.020851769,0.012452427,-0.01488775,0.43575153,0.21043189,-600053.4006976213,4.1642848663032055,-600047.3659955087,-600049.1826023519
S2-22.2,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.1423109,-0.123545624,-196.95250287237155,16.798895169732713,-0.027026929,-0.020336725,-0.023681827,0.01979269,0.0010217279,0.010407209,-600426.6156377024,3.271525487303734,-600421.6001072933,-600423.7921180526
S2-22.3,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16271807,-0.2796726,-207.7985478688704,17.831641565234648,0.16947234,0.09642266,0.1329475,0.08383274,-0.005243942,0.0392944,-325061.38649756665,2.4303506407886744,-325057.92809414346,-325060.14186803624
S2-22.3,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.50756866,-0.12106181,-67.80495021586302,113.60431900005426,0.0053540543,0.03102114,0.018187597,-0.048214793,0.42277497,0.18728009,-600055.8596477222,4.101745840162039,-600048.4730946962,-600051.1657404606
S2-22.3,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.14613469,-0.1241572,-193.24901336045275,16.762990718143033,-0.027079307,-0.020497821,-0.023788564,0.030537888,0.009077519,0.019807704,-600427.4287571586,4.402302574366331,-600422.3075165866,-600425.4135802259
S2-22.4,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16066574,-0.28370994,-209.93620665942413,16.10420285036557,0.1337564,0.07151684,0.10263662,0.043986097,-0.006292492,0.018846802,-325059.95058921125,2.808627335354686,-325056.29273553303,-325058.4093463817
S2-22.4,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.51662874,-0.11175538,-68.36595239681056,111.52374310460114,0.004638113,0.040676534,0.022657324,-0.028613836,0.39816642,0.18477629,-600053.1791118882,3.3352292012423277,-600041.5789195908,-600044.3297289202
S2-22.4,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.13732886,-0.10627104,-193.40364485053516,17.50792954808544,-0.040479355,-0.038444266,-0.03946181,0.0670996,0.010918528,0.039009064,-600426.7419557162,2.1861386075615883,-600423.312048472,-600425.4304012987
S2-22.5,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.1626338,-0.27965486,-207.78931982673296,17.895698502439036,0.1698423,0.09625563,0.13304897,0.08455156,-0.005359173,0.039596193,-325061.3825459805,2.26770362816751,-325058.1714907163,-325060.19413759693
S2-22.5,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.5175455,-0.11203524,-68.4707469284937,111.53649795735424,0.0039208382,0.040827803,0.02237432,-0.028556406,0.39878905,0.18511632,-600053.2032573948,3.1637585144490004,-600043.1206588644,-600045.0943408381
S2-22.5,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.14682736,-0.12388612,-193.02849686422752,16.825614376466795,-0.026731245,-0.020534828,-0.023633037,0.030390278,0.008615226,0.019502752,-600427.3812781537,3.6572371311485767,-600422.8386247326,-600425.4406456411
S2-22.6,reactant,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])=[C:92]([H])[H])c([H])c1[H],0,-0.16077963,-0.28378975,-210.00194323820776,16.12271110357112,0.13357532,0.07155554,0.10256543,0.04297921,-0.006370932,0.01830414,-325059.9508228749,2.7568623051047325,-325056.7652433791,-325058.4304381518
S2-22.6,intermediate,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],-1,-0.5060344,-0.11380722,-68.42294451795496,111.97854102619353,-0.010713585,0.017809182,0.0035477988,0.004935205,0.414902,0.2099186,-600053.003681705,3.3488682955503464,-600044.7409114684,-600048.1459992388
S2-22.6,product,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])c([H])c1[H],0,-0.1489872,-0.1174221,-194.46696148732002,19.64889713757998,0.0044590756,-0.015413724,-0.005477324,0.042884275,0.019507319,0.031195797,-600428.2089114893,3.5052623488008976,-600424.2485976252,-600426.324098017
S2-23.1,reactant,[H]c1c([H])c([H])c(N(C(=O)[C:91]([H])=[C:92]([H])[H])C([H])([H])[H])c([H])c1[H],0,-0.16356109,-0.28804654,-197.98367861484957,14.510339256291982,0.16290143,0.105043694,0.13397256,0.060015246,-0.004043609,0.027985819,-325051.0670181555,2.3476776089519262,-325046.98933914193,-325048.78857191204
S2-23.1,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])C([H])([H])[H])c([H])c1[H],-1,-0.45475006,-0.101985306,-69.00242380125508,114.38002820082643,-0.008721583,0.008773625,2.6021153e-05,-0.035232037,0.3463716,0.15556979,-600051.3770190505,2.46701948530972,-600044.332894547,-600047.4729335397
S2-23.1,product,[H]c1c([H])c([H])c(N(C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])C([H])([H])[H])c([H])c1[H],0,-0.1363612,-0.13170817,-191.24696678410223,17.74064465106781,0.018366724,0.0054796636,0.011923194,0.024375394,0.017548539,0.020961966,-600419.3448572187,1.627340868115425,-600415.0609892237,-600417.5999030496
S2-23.2,reactant,[H]c1c([H])c([H])c(N(C(=O)[C:91]([H])=[C:92]([H])[H])C([H])([H])[H])c([H])c1[H],0,-0.16353524,-0.28808263,-198.1542519921797,14.643951310697089,0.16334829,0.10523343,0.13429086,0.05947846,-0.004138887,0.027669787,-325051.06291321997,2.016269512474537,-325047.6228696394,-325049.3482737013
S2-23.2,intermediate,[H]c1c([H])c([H])c(N(C(=O)[C-:91]([H])[C:92]([H])([H])[S:93]C([H])([H])[H])C([H])([H])[H])c([H])c1[H],-1,-0.43102142,-0.10565071,-67.68998545070069,114.19548142530388,-0.012101054,0.009093709,-0.0015036725,-0.03449267,0.3121833,0.13884531,-600050.882617406,3.207385851070285,-600044.8315953807,-600047.696925942
S2-23.2,product,[H]c1c([H])c([H])c(N(C(=O)[C:91]([H])([H])[C:92]([H])([H])[S:93]C([H])([H])[H])C([H])([H])[H])c([H])c1[H],0,-0.13182989,-0.11291762,-189.77263057506195,19.104953588070536,-0.053607706,-0.046019122,-0.049813412,0.039339453,0.0076129213,0.023476187,-600416.7783424834,2.000833982601762,-600412.1516210601,-600415.1597693992
S2-23.3,reactant,[H]c1c([H])c([H])c(N(C(=O)[C:91]([H])=[C:92]([H])[H])C([H])([H])[H])c([H])c1[H],0,-0.16353422,-0.28810832,-197.97745759236938,14.517976821220211,0.16304278,0.105135664,0.13408923,0.059911683,-0.0041047037,0.02790349,-325051.067611713,2.3434378802776337,-325046.710903408,-325048.63049932587
